,0,1
0,勐海镇,"[{'category': '学校', 'count': 26}, {'category': '医院', 'count': 17}, {'category': '诊所', 'count': 30}, {'category': '公园', 'count': 79}, {'category': '商店', 'count': 135}, {'category': '工厂', 'count': 58}, {'category': '公交车站', 'count': 176}, {'category': '公共厕所', 'count': 16}, {'category': '移动营业厅', 'count': 46}, {'category': '联通营业厅', 'count': 16}, {'category': '淘宝', 'count': 16}, {'category': '餐厅', 'count': 572}, {'category': '广场', 'count': 43}]"
1,黄松甸村,"[{'category': '学校', 'count': 2500}, {'category': '医院', 'count': 811}, {'category': '诊所', 'count': 2232}, {'category': '公园', 'count': 84}, {'category': '商店', 'count': 16}, {'category': '工厂', 'count': 1459}, {'category': '公交车站', 'count': 800}, {'category': '公共厕所', 'count': 932}, {'category': '移动营业厅', 'count': 12}, {'category': '联通营业厅', 'count': 16}, {'category': '淘宝', 'count': 42}, {'category': '餐厅', 'count': 24}, {'category': '广场', 'count': 92}]"
2,西南门村,"[{'category': '学校', 'count': 30}, {'category': '医院', 'count': 586}, {'category': '诊所', 'count': 9}, {'category': '公园', 'count': 149}, {'category': '商店', 'count': 19}, {'category': '工厂', 'count': 1501}, {'category': '公交车站', 'count': 800}, {'category': '公共厕所', 'count': 1029}, {'category': '移动营业厅', 'count': 88}, {'category': '联通营业厅', 'count': 55}, {'category': '淘宝', 'count': 76}, {'category': '餐厅', 'count': 47}, {'category': '广场', 'count': 75}]"
3,文峰村,"[{'category': '学校', 'count': 62}, {'category': '医院', 'count': 1110}, {'category': '诊所', 'count': 10}, {'category': '公园', 'count': 214}, {'category': '商店', 'count': 148}, {'category': '工厂', 'count': 11}, {'category': '公交车站', 'count': 806}, {'category': '公共厕所', 'count': 1466}, {'category': '移动营业厅', 'count': 229}, {'category': '联通营业厅', 'count': 93}, {'category': '淘宝', 'count': 207}, {'category': '餐厅', 'count': 180}, {'category': '广场', 'count': 198}]"
4,叶坑村,"[{'category': '学校', 'count': 34}, {'category': '医院', 'count': 68}, {'category': '诊所', 'count': 270}, {'category': '公园', 'count': 12}, {'category': '商店', 'count': 34}, {'category': '工厂', 'count': 27}, {'category': '公交车站', 'count': 136}, {'category': '公共厕所', 'count': 58}, {'category': '移动营业厅', 'count': 20}, {'category': '联通营业厅', 'count': 13}, {'category': '淘宝', 'count': 24}, {'category': '餐厅', 'count': 13}, {'category': '广场', 'count': 198}]"
5,秀峰村,"[{'category': '学校', 'count': 20}, {'category': '医院', 'count': 31}, {'category': '诊所', 'count': 103}, {'category': '公园', 'count': 214}, {'category': '商店', 'count': 24}, {'category': '工厂', 'count': 40}, {'category': '公交车站', 'count': 68}, {'category': '公共厕所', 'count': 43}, {'category': '移动营业厅', 'count': 229}, {'category': '联通营业厅', 'count': 92}, {'category': '淘宝', 'count': 10}, {'category': '餐厅', 'count': 51}, {'category': '广场', 'count': 198}]"
6,东安香村,"[{'category': '学校', 'count': 14}, {'category': '医院', 'count': 1498}, {'category': '诊所', 'count': 10}, {'category': '公园', 'count': 528}, {'category': '商店', 'count': 11}, {'category': '工厂', 'count': 42}, {'category': '公交车站', 'count': 808}, {'category': '公共厕所', 'count': 15}, {'category': '移动营业厅', 'count': 670}, {'category': '联通营业厅', 'count': 554}, {'category': '淘宝', 'count': 197}, {'category': '餐厅', 'count': 33}, {'category': '广场', 'count': 458}]"
7,豆村村,"[{'category': '学校', 'count': 93}, {'category': '医院', 'count': 769}, {'category': '诊所', 'count': 31}, {'category': '公园', 'count': 105}, {'category': '商店', 'count': 117}, {'category': '工厂', 'count': 40}, {'category': '公交车站', 'count': 52}, {'category': '公共厕所', 'count': 23}, {'category': '移动营业厅', 'count': 209}, {'category': '联通营业厅', 'count': 170}, {'category': '淘宝', 'count': 82}, {'category': '餐厅', 'count': 369}, {'category': '广场', 'count': 89}]"
8,大赵村,"[{'category': '学校', 'count': 13}, {'category': '医院', 'count': 769}, {'category': '诊所', 'count': 2005}, {'category': '公园', 'count': 105}, {'category': '商店', 'count': 11}, {'category': '工厂', 'count': 1507}, {'category': '公交车站', 'count': 807}, {'category': '公共厕所', 'count': 966}, {'category': '移动营业厅', 'count': 200}, {'category': '联通营业厅', 'count': 167}, {'category': '淘宝', 'count': 82}, {'category': '餐厅', 'count': 16}, {'category': '广场', 'count': 89}]"
9,梁里马村,"[{'category': '学校', 'count': 13}, {'category': '医院', 'count': 15}, {'category': '诊所', 'count': 27}, {'category': '公园', 'count': 323}, {'category': '商店', 'count': 17}, {'category': '工厂', 'count': 14}, {'category': '公交车站', 'count': 801}, {'category': '公共厕所', 'count': 22}, {'category': '移动营业厅', 'count': 184}, {'category': '联通营业厅', 'count': 151}, {'category': '淘宝', 'count': 21}, {'category': '餐厅', 'count': 48}, {'category': '广场', 'count': 186}]"
10,田禾村,"[{'category': '学校', 'count': 10}, {'category': '医院', 'count': 1162}, {'category': '诊所', 'count': 24}, {'category': '公园', 'count': 323}, {'category': '商店', 'count': 133}, {'category': '工厂', 'count': 12}, {'category': '公交车站', 'count': 803}, {'category': '公共厕所', 'count': 17}, {'category': '移动营业厅', 'count': 191}, {'category': '联通营业厅', 'count': 151}, {'category': '淘宝', 'count': 17}, {'category': '餐厅', 'count': 10}, {'category': '广场', 'count': 186}]"
11,东马延村,"[{'category': '学校', 'count': 13}, {'category': '医院', 'count': 1162}, {'category': '诊所', 'count': 14}, {'category': '公园', 'count': 323}, {'category': '商店', 'count': 33}, {'category': '工厂', 'count': 33}, {'category': '公交车站', 'count': 12}, {'category': '公共厕所', 'count': 1832}, {'category': '移动营业厅', 'count': 162}, {'category': '联通营业厅', 'count': 131}, {'category': '淘宝', 'count': 12}, {'category': '餐厅', 'count': 17}, {'category': '广场', 'count': 186}]"
12,董家庄村,"[{'category': '学校', 'count': 54}, {'category': '医院', 'count': 1162}, {'category': '诊所', 'count': 15}, {'category': '公园', 'count': 323}, {'category': '商店', 'count': 75}, {'category': '工厂', 'count': 88}, {'category': '公交车站', 'count': 803}, {'category': '公共厕所', 'count': 1835}, {'category': '移动营业厅', 'count': 182}, {'category': '联通营业厅', 'count': 149}, {'category': '淘宝', 'count': 240}, {'category': '餐厅', 'count': 258}, {'category': '广场', 'count': 186}]"
13,艾村,"[{'category': '学校', 'count': 40}, {'category': '医院', 'count': 1163}, {'category': '诊所', 'count': 15}, {'category': '公园', 'count': 323}, {'category': '商店', 'count': 60}, {'category': '工厂', 'count': 62}, {'category': '公交车站', 'count': 804}, {'category': '公共厕所', 'count': 1835}, {'category': '移动营业厅', 'count': 214}, {'category': '联通营业厅', 'count': 189}, {'category': '淘宝', 'count': 242}, {'category': '餐厅', 'count': 124}, {'category': '广场', 'count': 186}]"
14,郑周天村,"[{'category': '学校', 'count': 15}, {'category': '医院', 'count': 1162}, {'category': '诊所', 'count': 10}, {'category': '公园', 'count': 323}, {'category': '商店', 'count': 12}, {'category': '工厂', 'count': 14}, {'category': '公交车站', 'count': 803}, {'category': '公共厕所', 'count': 11}, {'category': '移动营业厅', 'count': 211}, {'category': '联通营业厅', 'count': 184}, {'category': '淘宝', 'count': 242}, {'category': '餐厅', 'count': 36}, {'category': '广场', 'count': 186}]"
15,节固村,"[{'category': '学校', 'count': 10}, {'category': '医院', 'count': 14}, {'category': '诊所', 'count': 20}, {'category': '公园', 'count': 323}, {'category': '商店', 'count': 11}, {'category': '工厂', 'count': 23}, {'category': '公交车站', 'count': 802}, {'category': '公共厕所', 'count': 10}, {'category': '移动营业厅', 'count': 239}, {'category': '联通营业厅', 'count': 209}, {'category': '淘宝', 'count': 242}, {'category': '餐厅', 'count': 47}, {'category': '广场', 'count': 186}]"
16,高三洲村,"[{'category': '学校', 'count': 12}, {'category': '医院', 'count': 1162}, {'category': '诊所', 'count': 2460}, {'category': '公园', 'count': 323}, {'category': '商店', 'count': 16}, {'category': '工厂', 'count': 11}, {'category': '公交车站', 'count': 803}, {'category': '公共厕所', 'count': 1832}, {'category': '移动营业厅', 'count': 152}, {'category': '联通营业厅', 'count': 123}, {'category': '淘宝', 'count': 10}, {'category': '餐厅', 'count': 13}, {'category': '广场', 'count': 186}]"
17,五里庄村,"[{'category': '学校', 'count': 12}, {'category': '医院', 'count': 1162}, {'category': '诊所', 'count': 2460}, {'category': '公园', 'count': 323}, {'category': '商店', 'count': 16}, {'category': '工厂', 'count': 11}, {'category': '公交车站', 'count': 803}, {'category': '公共厕所', 'count': 1835}, {'category': '移动营业厅', 'count': 152}, {'category': '联通营业厅', 'count': 123}, {'category': '淘宝', 'count': 10}, {'category': '餐厅', 'count': 13}, {'category': '广场', 'count': 186}]"
18,把里村,"[{'category': '学校', 'count': 47}, {'category': '医院', 'count': 868}, {'category': '诊所', 'count': 23}, {'category': '公园', 'count': 104}, {'category': '商店', 'count': 64}, {'category': '工厂', 'count': 25}, {'category': '公交车站', 'count': 800}, {'category': '公共厕所', 'count': 1835}, {'category': '移动营业厅', 'count': 98}, {'category': '联通营业厅', 'count': 80}, {'category': '淘宝', 'count': 258}, {'category': '餐厅', 'count': 212}, {'category': '广场', 'count': 182}]"
19,孙白社村,"[{'category': '学校', 'count': 55}, {'category': '医院', 'count': 869}, {'category': '诊所', 'count': 11}, {'category': '公园', 'count': 105}, {'category': '商店', 'count': 54}, {'category': '工厂', 'count': 92}, {'category': '公交车站', 'count': 800}, {'category': '公共厕所', 'count': 1835}, {'category': '移动营业厅', 'count': 97}, {'category': '联通营业厅', 'count': 78}, {'category': '淘宝', 'count': 258}, {'category': '餐厅', 'count': 228}, {'category': '广场', 'count': 182}]"
